Destination,Transit Time,Transporter
93219,1,UPS
90267,1,UPS
90608,1,UPS
90640,1,UPS
90662,1,UPS
90715,1,UPS
90746,1,UPS
91199,1,UPS
91350,1,UPS
91377,1,UPS
91404,1,UPS
91710,1,UPS
91754,1,UPS
91771,1,UPS
92038,1,UPS
92147,1,UPS
92247,1,UPS
92258,1,UPS
92344,1,UPS
92654,1,UPS
92844,1,UPS
93388,1,UPS
93401,1,UPS
90009,1,UPS
90032,1,UPS
90242,1,UPS
91011,1,UPS
91046,1,UPS
91711,1,UPS
91902,1,UPS
92091,1,UPS
92110,1,UPS
92171,1,UPS
92182,1,UPS
93550,1,UPS
92236,1,UPS
92239,1,UPS
92264,1,UPS
92315,1,UPS
92413,1,UPS
92522,1,UPS
92707,1,UPS
92708,1,UPS
93016,1,UPS
93118,1,UPS
93257,1,UPS
93260,1,UPS
93263,1,UPS
93303,1,UPS
90003,1,UPS
90012,1,UPS
90249,1,UPS
90251,1,UPS
90407,1,UPS
90509,1,UPS
90605,1,UPS
90637,1,UPS
90723,1,UPS
90805,1,UPS
91020,1,UPS
91025,1,UPS
91188,1,UPS
91221,1,UPS
91361,1,UPS
91410,1,UPS
91508,1,UPS
91723,1,UPS
91732,1,UPS
91790,1,UPS
92109,1,UPS
92136,1,UPS
92176,1,UPS
92255,1,UPS
92305,1,UPS
92553,1,UPS
92835,1,UPS
93215,1,UPS
93268,1,UPS
93385,1,UPS
93463,1,UPS
93527,1,UPS
93599,1,UPS
90042,1,UPS
90058,1,UPS
90223,1,UPS
90292,1,UPS
90305,1,UPS
90502,1,UPS
90504,1,UPS
90602,1,UPS
90661,1,UPS
91357,1,UPS
91722,1,UPS
91803,1,UPS
91911,1,UPS
92022,1,UPS
92083,1,UPS
92088,1,UPS
92131,1,UPS
92149,1,UPS
92590,1,UPS
92623,1,UPS
92678,1,UPS
92690,1,UPS
93011,1,UPS
93014,1,UPS
93105,1,UPS
93111,1,UPS
93203,1,UPS
93449,1,UPS
93505,1,UPS
93558,1,UPS
90021,1,UPS
90023,1,UPS
90046,1,UPS
90075,1,UPS
90077,1,UPS
92372,1,UPS
92586,1,UPS
92604,1,UPS
92607,1,UPS
92659,1,UPS
92676,1,UPS
92838,1,UPS
92879,1,UPS
93010,1,UPS
93031,1,UPS
93256,1,UPS
90810,1,UPS
91030,1,UPS
91733,1,UPS
92010,1,UPS
92070,1,UPS
92186,1,UPS
93475,1,UPS
93504,1,UPS
93539,1,UPS
93562,1,UPS
90015,1,UPS
90020,1,UPS
90050,1,UPS
90272,1,UPS
90606,1,UPS
90814,1,UPS
90815,1,UPS
91303,1,UPS
91330,1,UPS
91507,1,UPS
91752,1,UPS
92177,1,UPS
92521,1,UPS
92605,1,UPS
92675,1,UPS
92856,1,UPS
93024,1,UPS
93043,1,UPS
93106,1,UPS
93204,1,UPS
92307,1,UPS
93307,1,UPS
93384,1,UPS
93422,1,UPS
93443,1,UPS
93456,1,UPS
90016,1,UPS
90080,1,UPS
90220,1,UPS
91202,1,UPS
91436,1,UPS
91482,1,UPS
91731,1,UPS
91766,1,UPS
91906,1,UPS
91913,1,UPS
92331,1,UPS
92358,1,UPS
92544,1,UPS
92557,1,UPS
92837,1,UPS
93036,1,UPS
93207,1,UPS
93238,1,UPS
93407,1,UPS
93442,1,UPS
93590,1,UPS
90014,1,UPS
90294,1,UPS
90505,1,UPS
90844,1,UPS
90895,1,UPS
90899,1,UPS
91116,1,UPS
91204,1,UPS
91225,1,UPS
91308,1,UPS
91767,1,UPS
92011,1,UPS
92134,1,UPS
92311,1,UPS
92703,1,UPS
92704,1,UPS
92814,1,UPS
92842,1,UPS
92870,1,UPS
90031,1,UPS
90055,1,UPS
90201,1,UPS
90250,1,UPS
90651,1,UPS
90660,1,UPS
90706,1,UPS
90740,1,UPS
90813,1,UPS
91066,1,UPS
91324,1,UPS
91371,1,UPS
91411,1,UPS
92101,1,UPS
92196,1,UPS
92199,1,UPS
92320,1,UPS
92340,1,UPS
92375,1,UPS
92782,1,UPS
93066,1,UPS
93239,1,UPS
93420,1,UPS
93427,1,UPS
90063,1,UPS
90074,1,UPS
90086,1,UPS
90211,1,UPS
90232,1,UPS
90401,1,UPS
90710,1,UPS
90755,1,UPS
91124,1,UPS
91395,1,UPS
91504,1,UPS
91612,1,UPS
91792,1,UPS
92152,1,UPS
92187,1,UPS
92270,1,UPS
92280,1,UPS
92335,1,UPS
92658,1,UPS
92801,1,UPS
92825,1,UPS
93208,1,UPS
93258,1,UPS
93421,1,UPS
93426,1,UPS
93457,1,UPS
90029,1,UPS
90070,1,UPS
90262,1,UPS
90742,1,UPS
91208,1,UPS
91408,1,UPS
91412,1,UPS
91610,1,UPS
91749,1,UPS
92028,1,UPS
92058,1,UPS
92128,1,UPS
92191,1,UPS
92308,1,UPS
92327,1,UPS
92564,1,UPS
92629,1,UPS
92684,1,UPS
92706,1,UPS
93064,1,UPS
93312,1,UPS
90004,1,UPS
90053,1,UPS
90067,1,UPS
90209,1,UPS
90221,1,UPS
90630,1,UPS
90652,1,UPS
91207,1,UPS
91355,1,UPS
91708,1,UPS
91908,1,UPS
91910,1,UPS
91946,1,UPS
92174,1,UPS
92241,1,UPS
92262,1,UPS
92356,1,UPS
92516,1,UPS
92519,1,UPS
92562,1,UPS
92806,1,UPS
92809,1,UPS
92877,1,UPS
93409,1,UPS
90025,1,UPS
90026,1,UPS
90030,1,UPS
90062,1,UPS
90745,1,UPS
90831,1,UPS
91021,1,UPS
91103,1,UPS
91107,1,UPS
91109,1,UPS
91331,1,UPS
91360,1,UPS
91393,1,UPS
91748,1,UPS
91916,1,UPS
92123,1,UPS
92139,1,UPS
92159,1,UPS
92316,1,UPS
92850,1,UPS
92881,1,UPS
92887,1,UPS
93282,1,UPS
93501,1,UPS
90006,1,UPS
90702,1,UPS
90842,1,UPS
91365,1,UPS
91502,1,UPS
91730,1,UPS
91951,1,UPS
91963,1,UPS
91979,1,UPS
92530,1,UPS
92609,1,UPS
92711,1,UPS
92712,1,UPS
92780,1,UPS
92807,1,UPS
93249,1,UPS
93445,1,UPS
93465,1,UPS
90007,1,UPS
90037,1,UPS
90064,1,UPS
90306,1,UPS
90631,1,UPS
90701,1,UPS
90714,1,UPS
90806,1,UPS
91012,1,UPS
91344,1,UPS
91606,1,UPS
91709,1,UPS
91775,1,UPS
91932,1,UPS
92014,1,UPS
92096,1,UPS
92113,1,UPS
92120,1,UPS
92175,1,UPS
92313,1,UPS
92339,1,UPS
92376,1,UPS
